vendor ID,vendor name,category,subcategory,strategy,refinery,additional comments,owner name
V00485,Endress+Hauser Group,Control Valves,Globe Valves,Spend analysis and cost optimization,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00486,Kistler Instruments,Vibration Measurement Instruments,Accelerometers,Supplier development and collaboration,Baytown Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00487,KROHNE,Level Instruments,Capacitance Level Sensors,Standardization and bundling of similar items,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00488,Honeywell International,Analytical Instruments,Conductivity Meters,Supplier development and collaboration,Whiting Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00489,Endress+Hauser Group,Signal Conditioning,Filters,Standardization and bundling of similar items,Baytown Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00490,Kistler Instruments,Temperature Instruments,Infrared Sensors,Supplier development and collaboration,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Aisha Patel
V00491,Schneider Electric,Signal Conditioning,Filters,Sustainability and green procurement focus,Baton Rouge Refinery,Include remote monitoring capabilities and IoT integration.,Rahul Iyer
V00492,Siemens AG,Signal Conditioning,Signal Converters,Spend analysis and cost optimization,Port Arthur Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00493,Kistler Group,Level Instruments,Ultrasonic Level Sensors,Sustainability and green procurement focus,Whiting Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00494,Dräger Safety,Signal Conditioning,Transmitters,Risk mitigation through multi-year contracts,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00495,Mettler-Toledo,Level Instruments,Ultrasonic Level Sensors,On-site vendor support and training,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00496,Rockwell Automation,Flow Instruments,Magnetic Flow Meters,Long-term partnership with global supplier,Whiting Refinery,Part of plant modernization project; coordinate with engineering.,Aisha Patel
V00497,VEGA Grieshaber,Level Instruments,Ultrasonic Level Sensors,Leveraging spend for volume discounts,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00498,National Instruments,Flow Instruments,Mass Flow Meters,Risk mitigation through multi-year contracts,Port Arthur Refinery,Preference for suppliers with local service centers.,Carlos Fernandez
V00499,Yokogawa Electric Corporation,Vibration Measurement Instruments,Vibration Sensors,On-site vendor support and training,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00500,Valmet,Test & Measurement Equipment,Function Generators,Supplier development and collaboration,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Carlos Fernandez
V00501,Fisher Controls (Emerson),Analytical Instruments,Dissolved Oxygen Meters,Leveraging spend for volume discounts,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Rahul Iyer
V00502,Agilent Technologies,Safety Instruments,Safety Valves,Standardization and bundling of similar items,Baton Rouge Refinery,Preference for suppliers with local service centers.,Megan Chen
V00503,Hach Company,Signal Conditioning,Filters,Sustainability and green procurement focus,Martinez Refinery,Preference for suppliers with local service centers.,Aisha Patel
V00504,Siemens AG,Level Instruments,Capacitance Level Sensors,Technology upgrade and digitalization program,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00505,Dräger Safety,Level Instruments,Capacitance Level Sensors,Supplier development and collaboration,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00506,Emerson Electric Co.,Flow Instruments,Ultrasonic Flow Meters,Standardization and bundling of similar items,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Rahul Iyer
V00507,Yokogawa Corporation of America,Vibration Measurement Instruments,Vibration Sensors,Consignment stock and vendor-managed inventory,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00508,Schneider Electric,Flow Instruments,Turbine Flow Meters,Performance-based maintenance contract,Baton Rouge Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00509,Yokogawa Corporation,Level Instruments,Capacitance Level Sensors,Long-term partnership with global supplier,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Rahul Iyer
V00510,Yokogawa Electric Corporation,Control Valves,Butterfly Valves,Spend analysis and cost optimization,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Rahul Iyer
V00511,Dräger Safety,Control Valves,Butterfly Valves,Standardization and bundling of similar items,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00512,Omega Engineering,Signal Conditioning,Transmitters,Risk mitigation through multi-year contracts,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00513,Yokogawa Corporation,Flow Instruments,Mass Flow Meters,Sustainability and green procurement focus,Baytown Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00514,Emerson Electric Co.,Safety Instruments,Fire & Gas Detectors,Leveraging spend for volume discounts,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00515,Yokogawa Electric Corporation,Control Valves,Butterfly Valves,Risk mitigation through multi-year contracts,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00516,Hach Company,Temperature Instruments,RTDs,Standardization and bundling of similar items,Baton Rouge Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00517,Hach Company,Control Valves,Needle Valves,Standardization and bundling of similar items,Whiting Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00518,Siemens AG,Analytical Instruments,pH Meters,Technology upgrade and digitalization program,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00519,Fisher Controls (Emerson),Flow Instruments,Mass Flow Meters,Sustainability and green procurement focus,Whiting Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00520,Endress+Hauser,Test & Measurement Equipment,Oscilloscopes,Long-term partnership with global supplier,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Rahul Iyer
V00521,Mettler-Toledo,Vibration Measurement Instruments,Vibration Sensors,Framework agreement for multi-site supply,Martinez Refinery,Part of plant modernization project; coordinate with engineering.,Megan Chen
V00522,Emerson Electric Co.,Vibration Measurement Instruments,Vibration Sensors,Supplier development and collaboration,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00523,Emerson Electric Co.,Temperature Instruments,Thermistors,On-site vendor support and training,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Lena Müller
V00524,Schneider Electric,Flow Instruments,Magnetic Flow Meters,Sustainability and green procurement focus,Baytown Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00525,KROHNE,Vibration Measurement Instruments,Vibration Sensors,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00526,Emerson Electric Co.,Safety Instruments,Emergency Shutdown Systems,Performance-based maintenance contract,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Carlos Fernandez
V00527,Fluke Corporation,Analytical Instruments,pH Meters,Performance-based maintenance contract,Martinez Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00528,Honeywell International,Level Instruments,Ultrasonic Level Sensors,Consignment stock and vendor-managed inventory,Baytown Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00529,Endress+Hauser Group,Safety Instruments,Safety Valves,Standardization and bundling of similar items,Baytown Refinery,Consider energy efficiency and sustainability in selection.,Rahul Iyer
V00530,Schneider Electric,Control Valves,Globe Valves,On-site vendor support and training,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00531,Kistler Group,Temperature Instruments,Thermocouples,Technology upgrade and digitalization program,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Megan Chen
V00532,Fisher Controls (Emerson),Signal Conditioning,Amplifiers,Life-cycle cost evaluation and optimization,Baytown Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00533,Fluke Corporation,Safety Instruments,Safety Valves,Supplier development and collaboration,Baton Rouge Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00534,Mettler-Toledo,Flow Instruments,Ultrasonic Flow Meters,Performance-based maintenance contract,Baton Rouge Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00535,Yokogawa Electric Corporation,Analytical Instruments,Dissolved Oxygen Meters,Dual sourcing with local backup vendor,Whiting Refinery,Preference for suppliers with local service centers.,Megan Chen
V00536,Emerson Electric Co.,Level Instruments,Capacitance Level Sensors,Consignment stock and vendor-managed inventory,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00537,VEGA Grieshaber,Signal Conditioning,Transmitters,Long-term partnership with global supplier,Martinez Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00538,Kistler Group,Vibration Measurement Instruments,Accelerometers,Supplier development and collaboration,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00539,Hach Company,Vibration Measurement Instruments,Portable Vibrometers,Life-cycle cost evaluation and optimization,Whiting Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00540,Valmet,Level Instruments,Capacitance Level Sensors,Life-cycle cost evaluation and optimization,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Aisha Patel
V00541,Kistler Instruments,Pressure Instruments,Differential Pressure Transmitters,Technology upgrade and digitalization program,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00542,Valmet,Test & Measurement Equipment,Data Acquisition Systems,Leveraging spend for volume discounts,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00543,Agilent Technologies,Test & Measurement Equipment,Function Generators,Performance-based maintenance contract,Baytown Refinery,Critical for process safety; ensure regular calibration.,Rahul Iyer
V00544,Hach Company,Safety Instruments,Fire & Gas Detectors,Sustainability and green procurement focus,Baton Rouge Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00545,"Siemens Industry, Inc.",Test & Measurement Equipment,Data Acquisition Systems,Leveraging spend for volume discounts,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Megan Chen
V00546,Fisher Controls (Emerson),Test & Measurement Equipment,Digital Multimeters,Sustainability and green procurement focus,Baytown Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00547,Omega Engineering,Pressure Instruments,Differential Pressure Transmitters,On-site vendor support and training,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Megan Chen
V00548,Omega Engineering,Signal Conditioning,Signal Converters,Performance-based maintenance contract,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Lena Müller
V00549,General Electric (GE),Pressure Instruments,Pressure Transmitters,Leveraging spend for volume discounts,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Megan Chen
V00550,Endress+Hauser,Temperature Instruments,Infrared Sensors,Performance-based maintenance contract,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Carlos Fernandez
V00551,Mettler-Toledo,Safety Instruments,Safety Valves,Performance-based maintenance contract,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00552,Fluke Corporation,Pressure Instruments,Pressure Switches,Life-cycle cost evaluation and optimization,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00553,ABB Ltd.,Safety Instruments,Gas Detectors,On-site vendor support and training,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00554,KROHNE,Flow Instruments,Mass Flow Meters,Technology upgrade and digitalization program,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00555,Fluke Corporation,Pressure Instruments,Differential Pressure Transmitters,Performance-based maintenance contract,Baytown Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00556,Valmet,Control Valves,Globe Valves,Supplier development and collaboration,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00557,ABB Ltd.,Temperature Instruments,Thermocouples,Performance-based maintenance contract,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00558,Omega Engineering,Level Instruments,Float Switches,Consignment stock and vendor-managed inventory,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00559,Yokogawa Electric Corporation,Flow Instruments,Turbine Flow Meters,Technology upgrade and digitalization program,Baton Rouge Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00560,Agilent Technologies,Level Instruments,Radar Level Sensors,Supplier development and collaboration,Whiting Refinery,Vendor to assist with installation and commissioning.,Lena Müller
V00561,VEGA Grieshaber,Pressure Instruments,Pressure Transmitters,On-site vendor support and training,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00562,Endress+Hauser,Signal Conditioning,Signal Converters,Risk mitigation through multi-year contracts,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Carlos Fernandez
V00563,Hach Company,Temperature Instruments,RTDs,Risk mitigation through multi-year contracts,Port Arthur Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00564,Yokogawa Electric Corporation,Analytical Instruments,Conductivity Meters,Long-term partnership with global supplier,Martinez Refinery,Consider energy efficiency and sustainability in selection.,Rahul Iyer
V00565,General Electric (GE),Signal Conditioning,Signal Converters,Supplier development and collaboration,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00566,Kistler Group,Safety Instruments,Fire & Gas Detectors,Long-term partnership with global supplier,Martinez Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00567,Yokogawa Electric Corporation,Pressure Instruments,Differential Pressure Transmitters,Performance-based maintenance contract,Port Arthur Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00568,Yokogawa Electric Corporation,Vibration Measurement Instruments,Portable Vibrometers,Long-term partnership with global supplier,Baton Rouge Refinery,Vendor to assist with installation and commissioning.,Aisha Patel
V00569,Endress+Hauser Group,Level Instruments,Float Switches,Framework agreement for multi-site supply,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Megan Chen
V00570,Schneider Electric,Pressure Instruments,Pressure Transmitters,Long-term partnership with global supplier,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00571,VEGA Grieshaber,Analytical Instruments,Conductivity Meters,Consignment stock and vendor-managed inventory,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00572,Kistler Instruments,Analytical Instruments,Spectrophotometers,Dual sourcing with local backup vendor,Baytown Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00573,Rohde & Schwarz,Safety Instruments,Emergency Shutdown Systems,Consignment stock and vendor-managed inventory,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00574,Endress+Hauser,Pressure Instruments,Pressure Transmitters,Framework agreement for multi-site supply,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00575,General Electric (GE),Level Instruments,Float Switches,Performance-based maintenance contract,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00576,WIKA Instrument,Test & Measurement Equipment,Data Acquisition Systems,Spend analysis and cost optimization,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Rahul Iyer
V00577,Fluke Corporation,Analytical Instruments,pH Meters,Technology upgrade and digitalization program,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00578,Kistler Instruments,Signal Conditioning,Amplifiers,Dual sourcing with local backup vendor,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Aisha Patel
V00579,Schneider Electric,Flow Instruments,Magnetic Flow Meters,Consignment stock and vendor-managed inventory,Baytown Refinery,Long lead times expected; maintain minimum stock levels.,Lena Müller
V00580,Kistler Group,Level Instruments,Capacitance Level Sensors,Consignment stock and vendor-managed inventory,Whiting Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00581,General Electric (GE),Signal Conditioning,Transmitters,Framework agreement for multi-site supply,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00582,Siemens AG,Flow Instruments,Mass Flow Meters,Framework agreement for multi-site supply,Martinez Refinery,Vendor to assist with installation and commissioning.,Megan Chen
V00583,Kistler Instruments,Control Valves,Ball Valves,Long-term partnership with global supplier,Baytown Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00584,Kistler Group,Control Valves,Ball Valves,Leveraging spend for volume discounts,Baton Rouge Refinery,Vendor provides robust after-sales support and technical training.,Carlos Fernandez
V00585,WIKA Instrument,Temperature Instruments,Thermistors,Sustainability and green procurement focus,Baytown Refinery,Preference for suppliers with local service centers.,Lena Müller
V00586,Omega Engineering,Analytical Instruments,pH Meters,Risk mitigation through multi-year contracts,Port Arthur Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00587,Siemens AG,Level Instruments,Radar Level Sensors,On-site vendor support and training,Baytown Refinery,Maintain alignment with corporate purchasing agreements.,Rahul Iyer
V00588,Keysight Technologies,Signal Conditioning,Amplifiers,Spend analysis and cost optimization,Whiting Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00589,Schneider Electric,Test & Measurement Equipment,Function Generators,Bulk purchasing for volume discounts,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Megan Chen
V00590,Rohde & Schwarz,Control Valves,Ball Valves,Spend analysis and cost optimization,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Megan Chen
V00591,Dräger Safety,Control Valves,Needle Valves,Supplier development and collaboration,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Lena Müller
V00592,Fisher Controls (Emerson),Flow Instruments,Mass Flow Meters,Supplier development and collaboration,Port Arthur Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00593,Omega Engineering,Level Instruments,Ultrasonic Level Sensors,Long-term partnership with global supplier,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Lena Müller
V00594,Dräger Safety,Analytical Instruments,pH Meters,Consignment stock and vendor-managed inventory,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00595,Emerson Electric Co.,Temperature Instruments,Thermocouples,Bulk purchasing for volume discounts,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Lena Müller
V00596,Agilent Technologies,Test & Measurement Equipment,Oscilloscopes,Dual sourcing with local backup vendor,Martinez Refinery,Vendor provides robust after-sales support and technical training.,Aisha Patel
V00597,General Electric (GE),Test & Measurement Equipment,Oscilloscopes,Leveraging spend for volume discounts,Martinez Refinery,Consider energy efficiency and sustainability in selection.,Megan Chen
V00598,Bruker Corporation,Temperature Instruments,Infrared Sensors,Framework agreement for multi-site supply,Baton Rouge Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00599,Fluke Corporation,Temperature Instruments,Thermocouples,Supplier development and collaboration,Whiting Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00600,Bruker Corporation,Temperature Instruments,Thermocouples,Technology upgrade and digitalization program,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Carlos Fernandez
V00601,Hach Company,Temperature Instruments,Thermistors,Supplier development and collaboration,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Carlos Fernandez
V00602,Mettler-Toledo,Pressure Instruments,Pressure Switches,Risk mitigation through multi-year contracts,Port Arthur Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00603,ABB Ltd.,Pressure Instruments,Pressure Switches,Sustainability and green procurement focus,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Carlos Fernandez
V00604,Fisher Controls (Emerson),Analytical Instruments,Spectrophotometers,Consignment stock and vendor-managed inventory,Whiting Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00605,Honeywell International,Safety Instruments,Emergency Shutdown Systems,Dual sourcing with local backup vendor,Baytown Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00606,Bruker Corporation,Safety Instruments,Emergency Shutdown Systems,Supplier development and collaboration,Baton Rouge Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00607,Yokogawa Corporation,Analytical Instruments,Conductivity Meters,Spend analysis and cost optimization,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00608,Yokogawa Electric Corporation,Signal Conditioning,Transmitters,Bulk purchasing for volume discounts,Port Arthur Refinery,Long lead times expected; maintain minimum stock levels.,Megan Chen
V00609,WIKA Instrument,Analytical Instruments,pH Meters,Consignment stock and vendor-managed inventory,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Megan Chen
V00610,Bruker Corporation,Flow Instruments,Mass Flow Meters,Framework agreement for multi-site supply,Martinez Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00611,Dräger Safety,Pressure Instruments,Pressure Gauges,Standardization and bundling of similar items,Port Arthur Refinery,Preference for suppliers with local service centers.,Rahul Iyer
V00612,National Instruments,Flow Instruments,Turbine Flow Meters,Life-cycle cost evaluation and optimization,Baton Rouge Refinery,Consider energy efficiency and sustainability in selection.,Carlos Fernandez
V00613,Bruker Corporation,Control Valves,Butterfly Valves,Dual sourcing with local backup vendor,Baton Rouge Refinery,Long lead times expected; maintain minimum stock levels.,Lena Müller
V00614,Endress+Hauser,Analytical Instruments,Dissolved Oxygen Meters,Risk mitigation through multi-year contracts,Baytown Refinery,Equipment is subject to harsh conditions; require rugged design.,Megan Chen
V00615,ABB Ltd.,Level Instruments,Radar Level Sensors,Risk mitigation through multi-year contracts,Whiting Refinery,Compliance with API and ASTM standards is mandatory.,Carlos Fernandez
V00616,Fisher Controls (Emerson),Control Valves,Globe Valves,On-site vendor support and training,Baytown Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00617,Endress+Hauser,Level Instruments,Capacitance Level Sensors,Dual sourcing with local backup vendor,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Rahul Iyer
V00618,Endress+Hauser,Flow Instruments,Magnetic Flow Meters,Technology upgrade and digitalization program,Whiting Refinery,High criticality; maintain redundancy and spare parts inventory.,Lena Müller
V00619,Kistler Group,Pressure Instruments,Differential Pressure Transmitters,Spend analysis and cost optimization,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Megan Chen
V00620,Rockwell Automation,Vibration Measurement Instruments,Vibration Analyzers,Standardization and bundling of similar items,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00621,Siemens AG,Temperature Instruments,Thermistors,Standardization and bundling of similar items,Whiting Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00622,Omega Engineering,Control Valves,Globe Valves,Leveraging spend for volume discounts,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00623,Endress+Hauser Group,Safety Instruments,Safety Valves,On-site vendor support and training,Baytown Refinery,Consider energy efficiency and sustainability in selection.,Carlos Fernandez
V00624,WIKA Instrument,Safety Instruments,Fire & Gas Detectors,Dual sourcing with local backup vendor,Baytown Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00625,Kistler Group,Signal Conditioning,Signal Converters,Performance-based maintenance contract,Port Arthur Refinery,Maintain alignment with corporate purchasing agreements.,Megan Chen
V00626,KROHNE,Vibration Measurement Instruments,Vibration Analyzers,Spend analysis and cost optimization,Baton Rouge Refinery,Consider energy efficiency and sustainability in selection.,Carlos Fernandez
V00627,VEGA Grieshaber,Vibration Measurement Instruments,Vibration Analyzers,On-site vendor support and training,Baytown Refinery,Ensure compatibility with existing control system infrastructure.,Lena Müller
V00628,Emerson Electric Co.,Control Valves,Needle Valves,Dual sourcing with local backup vendor,Port Arthur Refinery,High criticality; maintain redundancy and spare parts inventory.,Rahul Iyer
V00629,Endress+Hauser Group,Analytical Instruments,pH Meters,Performance-based maintenance contract,Baytown Refinery,Part of plant modernization project; coordinate with engineering.,Rahul Iyer
V00630,Schneider Electric,Flow Instruments,Magnetic Flow Meters,Supplier development and collaboration,Baytown Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00631,Kistler Group,Level Instruments,Float Switches,Spend analysis and cost optimization,Port Arthur Refinery,Vendor to assist with installation and commissioning.,Rahul Iyer
V00632,"Siemens Industry, Inc.",Temperature Instruments,Infrared Sensors,Long-term partnership with global supplier,Martinez Refinery,Requires high accuracy; consider upgrading to digital models.,Rahul Iyer
V00633,Siemens AG,Temperature Instruments,Thermistors,On-site vendor support and training,Whiting Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00634,Dräger Safety,Control Valves,Ball Valves,Leveraging spend for volume discounts,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Aisha Patel
V00635,Rockwell Automation,Flow Instruments,Turbine Flow Meters,Technology upgrade and digitalization program,Martinez Refinery,Long lead times expected; maintain minimum stock levels.,Carlos Fernandez
V00636,Honeywell International,Pressure Instruments,Pressure Switches,Long-term partnership with global supplier,Martinez Refinery,Select based on life-cycle cost rather than upfront price.,Rahul Iyer
V00637,Omega Engineering,Flow Instruments,Turbine Flow Meters,Framework agreement for multi-site supply,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Lena Müller
V00638,Endress+Hauser,Pressure Instruments,Pressure Transmitters,Sustainability and green procurement focus,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00639,Yokogawa Corporation of America,Test & Measurement Equipment,Oscilloscopes,Long-term partnership with global supplier,Martinez Refinery,Maintain alignment with corporate purchasing agreements.,Lena Müller
V00640,Keysight Technologies,Safety Instruments,Fire & Gas Detectors,Technology upgrade and digitalization program,Port Arthur Refinery,Part of plant modernization project; coordinate with engineering.,Megan Chen
V00641,Kistler Group,Safety Instruments,Fire & Gas Detectors,On-site vendor support and training,Whiting Refinery,Requires high accuracy; consider upgrading to digital models.,Megan Chen
V00642,Yokogawa Corporation,Test & Measurement Equipment,Function Generators,Standardization and bundling of similar items,Port Arthur Refinery,Vendor provides robust after-sales support and technical training.,Lena Müller
V00643,Dräger Safety,Temperature Instruments,Thermocouples,Dual sourcing with local backup vendor,Port Arthur Refinery,Ensure compatibility with existing control system infrastructure.,Aisha Patel
V00644,Omega Engineering,Pressure Instruments,Pressure Gauges,Supplier development and collaboration,Martinez Refinery,Critical for process safety; ensure regular calibration.,Carlos Fernandez
V00645,Omega Engineering,Safety Instruments,Gas Detectors,Consignment stock and vendor-managed inventory,Martinez Refinery,High criticality; maintain redundancy and spare parts inventory.,Aisha Patel
V00646,National Instruments,Test & Measurement Equipment,Digital Multimeters,Leveraging spend for volume discounts,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Carlos Fernandez
V00647,Endress+Hauser Group,Safety Instruments,Fire & Gas Detectors,Long-term partnership with global supplier,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Aisha Patel
V00648,WIKA Instrument,Signal Conditioning,Signal Converters,Framework agreement for multi-site supply,Baton Rouge Refinery,Equipment is subject to harsh conditions; require rugged design.,Aisha Patel
V00649,Honeywell International,Safety Instruments,Safety Valves,On-site vendor support and training,Baytown Refinery,High criticality; maintain redundancy and spare parts inventory.,Megan Chen
V00650,Yokogawa Corporation of America,Control Valves,Globe Valves,Leveraging spend for volume discounts,Whiting Refinery,Consider energy efficiency and sustainability in selection.,Carlos Fernandez
V00651,"Siemens Industry, Inc.",Flow Instruments,Mass Flow Meters,Spend analysis and cost optimization,Port Arthur Refinery,Equipment is subject to harsh conditions; require rugged design.,Lena Müller
V00652,ABB Ltd.,Temperature Instruments,Infrared Sensors,Standardization and bundling of similar items,Port Arthur Refinery,Critical for process safety; ensure regular calibration.,Lena Müller
V00653,National Instruments,Signal Conditioning,Transmitters,Bulk purchasing for volume discounts,Martinez Refinery,Include remote monitoring capabilities and IoT integration.,Lena Müller
V00654,General Electric (GE),Safety Instruments,Gas Detectors,Life-cycle cost evaluation and optimization,Baytown Refinery,Include remote monitoring capabilities and IoT integration.,Aisha Patel
